597								
598								
599								
600								
601								
602								
603								
604								
605								
606								
607								
608								
609								
610								
611								
612								
613								
614								
615								
616								
617								
618								
619								
620								
621								
622								
623								
624								
625								
626								
627								
628								
629								
630								
631								
632								
633								
634								
635								
636								
637								
638								
639								
640								
641								
642								
643								
644								
645								
646								
647								
648								
649								
650								
651								
652								
653								
654								
655								
656								
657								
658								
659								
660								
661								
662								
663								
664								
665								
666								
667								
668								
669								
670								
671								
672								
673								
674								
675								
676								
677								
678								
679								
680								
681								
682								
683								
684								
685								
686								
687								
688								
689								
690								
691								
692								
693								
694								
695								
696								
697								
698								
699								
700								
701								
702								
703								
704								
705								
706								
707								
708								
709								
710								
711								
712								
713								
714								
715								
716								
717								
718								
719								
720								
721								
722								
723								
724								
725								
726								
727								
728								
729								
730								
731								
732								
733								
734								
735								
736								
737								
738								
739								
740								
741								
742								
743								
744								
745								
746								
747								
748								
749								
750								
751								
752								
753								
754								
755								
756								
757								
758								
759								
760								
761								
762								
763								
764								
765								
766								
767								
768								
769								
770								
771								
772								
773								
774								
775								
776								
777								
778								
779								
780								
781								
782								
783								
784								
785								
786								
787								
788								
789								
790								
791								
792								
793								
794								
795								
796								
797								
798								
799								
800								
801								
802								
803								
804								
805								
806								
807								
808								
809								
810								
811								
812								
813								
814								
815								
816								
817								
818								
819								
820								
821								
822								
823								
824								
825								
826								
827								
828								
829								
830								
831								
832								
833								
834								
835								
836								
837								
838								
839								
840								
841								
842								
843								
844								
845								
846								
847								
848								
849								
850								
851								
852								
853								
854								
855								
856								
857								
858								
859								
860								
861								
862								
863								
864								
865								
866								
867								
868								
869								
870								
871								
872								
873								
874								
875								
876								
877								
878								
879								
880								
881								
882								
883								
884								
885								
886								
887								
888								
889								
890								
891								
892								
893								
894								
895								
896								
897								
898								
899								
900								
901								
902								
903								
904								
905								
906								
907								
908								
909								
910								
911								
912								
913								
914								
915								
916								
917								
918								
919								
920								
921								
922								
923								
924								
925								
926								
927								
928								
929								
930								
931								
932								
933								
934								
935								
936								
937								
938								
939								
940								
941								
942								
943								
944								
945								
946								
947								
948								
949								
950								
951								
952								
953								
954								
955								
956								
957								
958								
959								
960								
961								
962								
963								
964								
965								
966								
967								
968								
969								
970								
971								
972								
973								
974								
975								
976								
977								
978								
979								
980								
981								
982								
983								
984								
985								
986								
987								
988								
989								
990								
991								
992								
993								
994								
995								
996								
997								
998								
999								
1000								
1001								
1002								
1003								
1004								
1005								
1006								
1007								
1008								
1009								
1010								
1011								
1012								
1013								
1014								
1015								
1016								
1017								
1018								
1019								
1020								
1021								
1022								
1023								
1024								
1025								
1026								
1027								
1028								
1029								
1030								
1031								
1032								
1033								
1034								
1035								
1036								
1037								
1038								
1039								
1040								
1041								
1042								
1043								
1044								
1045								
1046								
1047								
1048								
1049								
1050								
1051								
1052								
1053								
1054								
1055								
1056								
1057								
1058								
1059								
1060								
1061								
1062								
1063								
1064								
1065								
1066								
1067								
1068								
1069								
1070								
1071								
1072								
1073								
1074								
1075								
1076								
1077								
1078								
1079								
1080								
1081								
1082								
1083								
1084								
1085								
1086								
1087								
1088								
1089	1.0							
1090	1.0							
1091	1.0							
1092	1.0							
1093	1.0							
1094	1.0							
1095	1.0							
1096	1.0							
1097	1.0							
1098	1.0							
1099	1.0							
1100	1.0							
1101	1.0							
1102	1.0							
1103	1.0							
1104	1.0							
1105	1.0							
1106	1.0							
1107	0.5							
1108	0.5							
1109	0.5							
1110	0.5							
1111	0.5							
1112	0.5							
1113	0.5							
1114	0.5							
1115	0.5							
1116	0.5							
1117	0.5							
1118	0.5							
1119	0.5							
1120	0.5							
1121	0.5							
1122	0.5							
1123	0.5							
1124	0.5							
1125	0.5							
1126	0.5							
1127	0.5							
1128	0.5							
1129	0.5							
1130	0.5							
1131	0.5							
1132	0.5							
1133	0.5							
1134	0.5							
1135	0.5							
1136	0.5							
1137	0.5							
1138	0.5							
1139	0.5							
1140	0.5							
1141	0.5							
1142	0.5							
1143	0.5							
1144	0.5							
1145	0.5							
1146	0.5							
1147	0.5							
1148	0.5							
1149	0.5							
1150	0.5							
1151	0.5							
1152	0.5							
1153	0.5							
1154	0.5							
1155	0.5							
1156	0.5							
1157	0.5							
1158	0.5							
1159	0.5							
1160	0.5							
1161	0.5							
1162	0.5							
1163	0.5							
1164	0.5							
1165	0.5							
1166	0.5							
1167	0.5							
1168	0.5							
1169	0.5							
1170	0.5							
1171	0.5							
1172	0.5							
1173	0.5							
1174	0.5							
1175	0.5							
1176	0.5							
1177	0.5							
1178	0.5							
1179	0.5							
1180	0.5							
1181	0.5							
1182	0.5							
1183	0.5							
1184	0.5							
1185	0.5							
1186	0.5							
1187	0.5							
1188	0.5							
1189	0.5							
1190	0.5							
1191	0.5							
1192	0.5							
1193	0.5							
1194	0.5							
1195	0.5							
1196	0.5							
1197	0.5							
1198	0.5							
1199	0.5							
1200	0.5							
1201	0.5							
1202	0.5							
1203	0.5							
1204	0.5							
1205	0.5							
1206	0.5							
1207	0.5							
1208	0.5							
1209	0.5							
1210	0.5							
1211	0.5							
1212	0.5							
1213	0.5							
1214	0.5							
1215	0.5							
1216	0.5							
1217	0.5							
1218	0.5							
1219	0.5							
1220	0.5							
1221	0.5							
1222	0.5							
1223	0.5							
1224	0.5							
1225	0.5							
1226	0.5							
1227	0.5							
1228	0.5							
1229	0.5							
1230	0.5							
1231	0.5							
1232	0.5							
1233	0.6666666666666666							
1234	0.6666666666666666							
1235	0.6666666666666666							
1236	0.6666666666666666							
1237	0.6666666666666666							
1238	0.6666666666666666							
1239	0.6666666666666666							
1240	0.6666666666666666							
1241	0.6666666666666666							
1242	0.6666666666666666							
1243	0.6666666666666666							
1244	0.6666666666666666							
1245	0.6666666666666666							
1246	0.6666666666666666							
1247	0.6666666666666666							
1248	0.6666666666666666							
1249	0.6666666666666666							
1250	0.6666666666666666							
1251	0.6666666666666666							
1252	0.6666666666666666							
1253	0.6666666666666666							
1254	0.6666666666666666							
1255	0.6666666666666666							
1256	0.6666666666666666							
1257	0.6666666666666666							
1258	0.6666666666666666							
1259	0.6666666666666666							
1260	0.6666666666666666							
1261	0.6666666666666666							
1262	0.6666666666666666							
1263	0.6666666666666666							
1264	0.6666666666666666							
1265	0.6666666666666666							
1266	0.5							
1267	0.5							
1268	0.5							
1269	0.5							
1270	0.5							
1271	0.5							
1272	0.5							
1273	0.5							
1274	0.5							
1275	0.5							
1276	0.5							
1277	0.5							
1278	0.5							
1279	0.5							
1280	0.5							
1281	0.5							
1282	0.5							
1283	0.5							
1284	0.5							
1285	0.5							
1286	0.5							
1287	0.5							
1288	0.5							
1289	0.5							
1290	0.5							
1291	0.5							
1292	0.5							
1293	0.5							
1294	0.5							
1295	0.5							
1296	0.5							
1297	0.5							
1298	0.5							
1299	0.4							
1300	0.4							
1301	0.4							
1302	0.4							
1303	0.4							
1304	0.4							
1305	0.4							
1306	0.4							
1307	0.5							
1308	0.5							
1309	0.5							
1310	0.5							
1311	0.5							
1312	0.5							
1313	0.5							
1314	0.5							
1315	0.5							
1316	0.5							
1317	0.5							
1318	0.5							
1319	0.5							
1320	0.5							
1321	0.5							
1322	0.5							
1323	0.5							
1324	0.5							
1325	0.5							
1326	0.5							
1327	0.5							
1328	0.5							
1329	0.5							
1330	0.5							
1331	0.5							
1332	0.5							
1333	0.5							
1334	0.5							
1335	0.5							
1336	0.5							
1337	0.5							
1338	0.5714285714285714							
1339	0.5714285714285714							
1340	0.5714285714285714							
1341	0.5714285714285714							
1342	0.5714285714285714							
1343	0.5714285714285714							
1344	0.5714285714285714							
1345	0.5714285714285714							
1346	0.5							
1347	0.5							
1348	0.5							
1349	0.5							
1350	0.5							
1351	0.5							
1352	0.5							
1353	0.5							
1354	0.5							
1355	0.5							
1356	0.5							
1357	0.5							
1358	0.5							
1359	0.5							
1360	0.5							
1361	0.5							
1362	0.5							
1363	0.5							
1364	0.5							
1365	0.4444444444444444							
1366	0.4444444444444444							
1367	0.4444444444444444							
1368	0.4							
1369	0.4							
1370	0.4							
1371	0.4							
1372	0.4							
1373	0.4							
1374	0.4							
1375	0.4							
1376	0.4							
1377	0.4							
1378	0.4							
1379	0.4							
1380	0.4							
1381	0.4							
1382	0.4							
1383	0.4							
1384	0.36363636363636365							
1385	0.36363636363636365							
1386	0.36363636363636365							
1387	0.36363636363636365							
1388	0.3333333333333333							
1389	0.3333333333333333							
1390	0.3333333333333333							
1391	0.3333333333333333							
1392	0.3333333333333333							
1393	0.3333333333333333							
1394	0.3333333333333333							
1395	0.3333333333333333							
1396	0.3333333333333333							
1397	0.3333333333333333							
1398	0.3333333333333333							
1399	0.3333333333333333							
1400	0.3333333333333333							
1401	0.3333333333333333							
1402	0.3333333333333333							
1403	0.3333333333333333							
1404	0.3333333333333333							
1405	0.3333333333333333							
1406	0.3333333333333333							
1407	0.3333333333333333							
1408	0.3333333333333333							
1409	0.3333333333333333							
1410	0.3333333333333333							
1411	0.3333333333333333							
1412	0.38461538461538464							
1413	0.38461538461538464							
1414	0.38461538461538464							
1415	0.38461538461538464							
1416	0.38461538461538464							
1417	0.38461538461538464							
1418	0.38461538461538464							
1419	0.38461538461538464							
1420	0.38461538461538464							
1421	0.38461538461538464							
1422	0.38461538461538464							
1423	0.38461538461538464							
1424	0.38461538461538464							
1425	0.38461538461538464							
1426	0.38461538461538464							
1427	0.38461538461538464							
1428	0.38461538461538464							
1429	0.38461538461538464							
1430	0.42857142857142855							
1431	0.42857142857142855							
1432	0.42857142857142855							
1433	0.42857142857142855							
1434	0.42857142857142855							
1435	0.42857142857142855							
1436	0.42857142857142855							
1437	0.42857142857142855							
1438	0.42857142857142855							
1439	0.42857142857142855							
1440	0.42857142857142855							
1441	0.42857142857142855							
1442	0.42857142857142855							
1443	0.42857142857142855							
1444	0.42857142857142855							
1445	0.42857142857142855							
1446	0.42857142857142855							
1447	0.42857142857142855							
1448	0.42857142857142855							
1449	0.42857142857142855							
1450	0.42857142857142855							
1451	0.42857142857142855							
1452	0.42857142857142855							
1453	0.42857142857142855							
1454	0.42857142857142855							
1455	0.42857142857142855							
1456	0.42857142857142855							
1457	0.42857142857142855							
1458	0.42857142857142855							
1459	0.42857142857142855							
1460	0.42857142857142855							
1461	0.42857142857142855							
1462	0.42857142857142855							
1463	0.42857142857142855							
1464	0.42857142857142855							
1465	0.42857142857142855							
1466	0.42857142857142855							
1467	0.42857142857142855							
1468	0.42857142857142855							
1469	0.42857142857142855							
1470	0.42857142857142855							
1471	0.42857142857142855							
1472	0.42857142857142855							
1473	0.42857142857142855							
1474	0.42857142857142855							
1475	0.42857142857142855							
1476	0.42857142857142855							
1477	0.42857142857142855							
1478	0.42857142857142855							
1479	0.42857142857142855							
1480	0.42857142857142855							
1481	0.42857142857142855							
1482	0.42857142857142855							
1483	0.42857142857142855							
1484	0.42857142857142855							
1485	0.42857142857142855							
1486	0.42857142857142855							
1487	0.42857142857142855							
1488	0.42857142857142855							
1489	0.42857142857142855							
1490	0.42857142857142855							
1491	0.4							
1492	0.4							
1493	0.4							
1494	0.4							
1495	0.4							
1496	0.4							
1497	0.4							
1498	0.4							
1499	0.4							
1500	0.4							
1501	0.4							
1502	0.4							
1503	0.4							
1504	0.4							
1505	0.4							
1506	0.4							
1507	0.4							
1508	0.4							
1509	0.4							
1510	0.4							
1511	0.4							
1512	0.4							
1513	0.4							
1514	0.4							
1515	0.4							
1516	0.4							
1517	0.4							
1518	0.4							
1519	0.4							
1520	0.4							
1521	0.4							
1522	0.375							
1523	0.375							
1524	0.375							
1525	0.375							
1526	0.375							
1527	0.375							
1528	0.375							
1529	0.375							
1530	0.375							
1531	0.375							
1532	0.375							
1533	0.375							
1534	0.375							
1535	0.375							
1536	0.375							
1537	0.375							
1538	0.375							
1539	0.375							
1540	0.375							
1541	0.375							
1542	0.375							
1543	0.375							
1544	0.375							
1545	0.375							
1546	0.375							
1547	0.375							
1548	0.375							
1549	0.375							
1550	0.35294117647058826							
1551	0.35294117647058826							
1552	0.35294117647058826							
1553	0.35294117647058826							
1554	0.35294117647058826							
1555	0.35294117647058826							
1556	0.35294117647058826							
1557	0.35294117647058826							
1558	0.35294117647058826							
1559	0.35294117647058826							
1560	0.35294117647058826							
1561	0.35294117647058826							
1562	0.35294117647058826							
1563	0.35294117647058826							
1564	0.35294117647058826							
1565	0.35294117647058826							
1566	0.35294117647058826							
1567	0.35294117647058826							
1568	0.3888888888888889							
1569	0.3888888888888889							
1570	0.3888888888888889							
1571	0.3888888888888889							
1572	0.3888888888888889							
1573	0.3888888888888889							
1574	0.42105263157894735							
1575	0.42105263157894735							
1576	0.42105263157894735							
1577	0.42105263157894735							
1578	0.42105263157894735							
1579	0.42105263157894735							
1580	0.42105263157894735							
1581	0.42105263157894735							
1582	0.42105263157894735							
1583	0.4							
1584	0.4							
1585	0.4							
1586	0.4							
1587	0.4							
1588	0.4							
1589	0.4							
1590	0.4							
1591	0.4							
1592	0.4							
1593	0.4							
1594	0.4							
1595	0.4							
1596	0.4							
1597	0.4							
1598	0.4							
1599	0.4							
1600	0.4							
1601	0.4							
1602	0.4							
1603	0.4							
1604	0.4							
1605	0.4							
1606	0.4							
1607	0.4							
1608	0.4							
1609	0.4							
1610	0.4							
1611	0.4							
1612	0.4							
1613	0.4							
1614	0.4							
1615	0.4							
1616	0.4							
1617	0.4							
1618	0.4							
1619	0.4							
1620	0.4							
1621	0.4							
1622	0.4							
1623	0.38095238095238093							
1624	0.38095238095238093							
1625	0.38095238095238093							
1626	0.38095238095238093							
1627	0.38095238095238093							
1628	0.38095238095238093							
1629	0.38095238095238093							
1630	0.38095238095238093							
1631	0.38095238095238093							
1632	0.38095238095238093							
1633	0.38095238095238093							
1634	0.36363636363636365							
1635	0.36363636363636365							
1636	0.36363636363636365							
1637	0.36363636363636365							
1638	0.36363636363636365							
1639	0.36363636363636365							
1640	0.36363636363636365							
1641	0.36363636363636365							
1642	0.36363636363636365							
1643	0.36363636363636365							
1644	0.391304347826087							
1645	0.391304347826087							
1646	0.391304347826087							
1647	0.391304347826087							
1648	0.391304347826087							
1649	0.391304347826087							
1650	0.391304347826087							
1651	0.391304347826087							
1652	0.391304347826087							
1653	0.391304347826087							
1654	0.391304347826087							
1655	0.391304347826087							
1656	0.391304347826087							
1657	0.391304347826087							
1658	0.391304347826087							
1659	0.391304347826087							
1660	0.391304347826087							
1661	0.391304347826087							
1662	0.391304347826087							
1663	0.391304347826087							
1664	0.391304347826087							
1665	0.4166666666666667							
1666	0.4166666666666667							
1667	0.4166666666666667							
1668	0.4166666666666667							
1669	0.4166666666666667							
1670	0.4166666666666667							
1671	0.4166666666666667							
1672	0.4166666666666667							
1673	0.4166666666666667							
1674	0.4166666666666667							
1675	0.4166666666666667							
1676	0.4166666666666667							
1677	0.4166666666666667							
1678	0.4166666666666667							
1679	0.4166666666666667							
1680	0.4166666666666667							
1681	0.4166666666666667							
1682	0.4							
1683	0.4							
1684	0.4							
1685	0.4							
1686	0.4							
1687	0.4							
1688	0.4							
1689	0.4							
1690	0.4							
1691	0.4							
1692	0.4							
1693	0.4							
1694	0.4							
1695	0.4							
1696	0.4							
1697	0.4							
1698	0.4							
1699	0.4							
1700	0.4							
1701	0.4							
1702	0.4							
1703	0.4							
1704	0.4							
1705	0.4							
1706	0.4							
1707	0.4							
1708	0.4							
1709	0.4							
1710	0.4							
1711	0.4							
1712	0.4							
1713	0.4							
1714	0.4							
1715	0.4							
1716	0.4							
1717	0.4230769230769231							
1718	0.4230769230769231							
1719	0.4230769230769231							
1720	0.4230769230769231							
1721	0.4230769230769231							
1722	0.4230769230769231							
1723	0.4230769230769231							
1724	0.4230769230769231							
1725	0.4230769230769231							
1726	0.4230769230769231							
1727	0.4444444444444444							
1728	0.4444444444444444							
1729	0.4444444444444444							
1730	0.4444444444444444							
1731	0.4444444444444444							
1732	0.4444444444444444							
1733	0.4444444444444444							
1734	0.4444444444444444							
1735	0.4444444444444444							
1736	0.4444444444444444							
1737	0.4444444444444444							
1738	0.4444444444444444							
1739	0.4444444444444444							
1740	0.4444444444444444							
1741	0.4444444444444444							
1742	0.4444444444444444							
1743	0.4444444444444444							
1744	0.4444444444444444							
1745	0.4444444444444444							
1746	0.4444444444444444							
1747	0.4444444444444444							
1748	0.4444444444444444							
1749	0.4444444444444444							
1750	0.4444444444444444							
1751	0.4444444444444444							
1752	0.4444444444444444							
1753	0.4444444444444444							
1754	0.4444444444444444							
1755	0.4444444444444444							
1756	0.4444444444444444							
1757	0.4444444444444444							
1758	0.4444444444444444							
1759	0.4444444444444444							
1760	0.4444444444444444							
1761	0.4444444444444444							
1762	0.4444444444444444							
1763	0.4444444444444444							
1764	0.4444444444444444							
1765	0.4444444444444444							
1766	0.4444444444444444							
1767	0.4444444444444444							
1768	0.42857142857142855							
1769	0.42857142857142855							
1770	0.42857142857142855							
1771	0.42857142857142855							
1772	0.42857142857142855							
1773	0.42857142857142855							
1774	0.42857142857142855							
1775	0.42857142857142855							
1776	0.42857142857142855							
1777	0.42857142857142855							
1778	0.42857142857142855							
1779	0.42857142857142855							
1780	0.42857142857142855							
1781	0.42857142857142855							
1782	0.42857142857142855							
1783	0.42857142857142855							
1784	0.41379310344827586							
1785	0.41379310344827586							
1786	0.41379310344827586							
1787	0.4							
1788	0.4							
1789	0.4							
1790	0.4							
1791	0.4							
1792	0.4							
1793	0.4							
1794	0.4							
1795	0.4							
1796	0.4							
1797	0.4							
1798	0.4							
1799	0.4							
1800	0.4							
1801	0.4							
1802	0.4							
1803	0.4							
1804	0.4							
1805	0.4							
1806	0.4							
1807	0.4							
1808	0.4							
1809	0.3870967741935484							
1810	0.3870967741935484							
1811	0.3870967741935484							
1812	0.3870967741935484							
1813	0.3870967741935484							
1814	0.3870967741935484							
1815	0.3870967741935484							
1816	0.3870967741935484							
1817	0.3870967741935484							
1818	0.3870967741935484							
1819	0.3870967741935484							
1820	0.3870967741935484							
1821	0.3870967741935484							
1822	0.3870967741935484							
1823	0.3870967741935484							
1824	0.40625							
1825	0.40625							
1826	0.40625							
1827	0.40625							
1828	0.40625							
1829	0.40625							
1830	0.40625							
1831	0.40625							
1832	0.40625							
1833	0.40625							
1834	0.40625							
1835	0.40625							
1836	0.3939393939393939							
1837	0.3939393939393939							
1838	0.3939393939393939							
1839	0.3939393939393939							
1840	0.3939393939393939							
1841	0.4117647058823529							
1842	0.4117647058823529							
1843	0.4117647058823529							
1844	0.4117647058823529							
1845	0.4117647058823529							
1846	0.4117647058823529							
1847	0.4117647058823529							
1848	0.4117647058823529							
1849	0.4							
1850	0.4							
1851	0.4							
1852	0.4							
1853	0.4							
1854	0.4							
1855	0.4							
1856	0.4							
1857	0.4							
1858	0.4							
1859	0.4							
1860	0.4							
1861	0.3888888888888889							
1862	0.3888888888888889							
1863	0.3888888888888889							
1864	0.3888888888888889							
1865	0.3888888888888889							
1866	0.3888888888888889							
1867	0.3888888888888889							
1868	0.3888888888888889							
1869	0.3888888888888889							
1870	0.3888888888888889							
1871	0.3888888888888889							
1872	0.3888888888888889							
1873	0.3888888888888889							
1874	0.3888888888888889							
1875	0.3888888888888889							
1876	0.3888888888888889							
1877	0.3888888888888889							
1878	0.3888888888888889							
1879	0.40540540540540543							
1880	0.40540540540540543							
1881	0.40540540540540543							
1882	0.40540540540540543							
1883	0.40540540540540543							
1884	0.40540540540540543							
1885	0.40540540540540543							
1886	0.40540540540540543							
1887	0.40540540540540543							
1888	0.40540540540540543							
1889	0.40540540540540543							
1890	0.40540540540540543							
1891	0.40540540540540543							
1892	0.40540540540540543							
1893	0.40540540540540543							
1894	0.40540540540540543							
1895	0.40540540540540543							
1896	0.40540540540540543							
1897	0.40540540540540543							
1898	0.40540540540540543							
1899	0.40540540540540543							
1900	0.40540540540540543							
1901	0.40540540540540543							
1902	0.40540540540540543							
1903	0.40540540540540543							
1904	0.40540540540540543							
1905	0.40540540540540543							
1906	0.40540540540540543							
1907	0.39473684210526316							
1908	0.39473684210526316							
1909	0.39473684210526316							
1910	0.39473684210526316							
1911	0.39473684210526316							
1912	0.39473684210526316							
1913	0.39473684210526316							
1914	0.39473684210526316							
1915	0.39473684210526316							
1916	0.39473684210526316							
1917	0.39473684210526316							
1918	0.39473684210526316							
1919	0.39473684210526316							
1920	0.39473684210526316							
1921	0.39473684210526316							
1922	0.41025641025641024							
1923	0.41025641025641024							
1924	0.41025641025641024							
1925	0.41025641025641024							
1926	0.41025641025641024							
1927	0.41025641025641024							
1928	0.41025641025641024							
1929	0.41025641025641024							
1930	0.41025641025641024							
1931	0.425							
1932	0.425							
1933	0.425							
1934	0.425							
1935	0.425							
1936	0.425							
1937	0.425							
1938	0.425							
1939	0.425							
1940	0.425							
1941	0.425							
1942	0.425							
1943	0.425							
1944	0.425							
1945	0.425							
1946	0.425							
1947	0.425							
1948	0.425							
1949	0.425							
1950	0.425							
1951	0.425							
1952	0.425							
1953	0.425							
1954	0.425							
1955	0.425							
1956	0.425							
1957	0.425							
1958	0.425							
1959	0.425							
1960	0.425							
1961	0.425							
1962	0.425							
1963	0.425							
1964	0.4146341463414634							
1965	0.4146341463414634							
1966	0.4146341463414634							
1967	0.4146341463414634							
1968	0.4146341463414634							
1969	0.4146341463414634							
1970	0.4146341463414634							
1971	0.4146341463414634							
1972	0.4146341463414634							
1973	0.40476190476190477							
1974	0.40476190476190477							
1975	0.40476190476190477							
1976	0.40476190476190477							
1977	0.40476190476190477							
1978	0.40476190476190477							
1979	0.40476190476190477							
1980	0.40476190476190477							
1981	0.40476190476190477							
1982	0.40476190476190477							
1983	0.3953488372093023							
1984	0.3953488372093023							
1985	0.3953488372093023							
1986	0.3953488372093023							
1987	0.3953488372093023							
1988	0.3953488372093023							
1989	0.3953488372093023							
1990	0.3953488372093023							
1991	0.3953488372093023							
1992	0.3953488372093023							
1993	0.3953488372093023							
1994	0.3953488372093023							
1995	0.3953488372093023							
1996	0.3953488372093023							
1997	0.3953488372093023							
1998	0.3953488372093023							
1999	0.3953488372093023							
2000	0.3953488372093023							
2001	0.3953488372093023							
2002	0.3953488372093023							
2003	0.3953488372093023							
2004	0.3953488372093023							
2005	0.3953488372093023							
2006	0.3953488372093023							
2007	0.3953488372093023							
2008	0.3953488372093023							
2009	0.4090909090909091							
2010	0.4090909090909091							
2011	0.4090909090909091							
2012	0.4090909090909091							
2013	0.4090909090909091							
2014	0.4090909090909091							
2015	0.4090909090909091							
2016	0.4090909090909091							
2017	0.4090909090909091							
2018	0.4090909090909091							
2019	0.4090909090909091							
2020	0.4090909090909091							
2021	0.4090909090909091							
2022	0.4090909090909091							
2023	0.4090909090909091							
2024	0.4090909090909091							
2025	0.4090909090909091							
2026	0.4090909090909091							
2027	0.4090909090909091							
2028	0.4090909090909091							
2029	0.4090909090909091							
2030	0.4090909090909091							
2031	0.4090909090909091							
2032	0.4090909090909091							
2033	0.4090909090909091							
2034	0.4							
2035	0.4							
2036	0.4							
2037	0.4							
2038	0.4							
2039	0.4							
2040	0.4							
2041	0.4							
2042	0.4							
2043	0.4							
2044	0.4							
2045	0.4							
2046	0.4							
2047	0.4							
2048	0.4							
2049	0.4							
2050	0.4							
2051	0.4							
2052	0.391304347826087							
2053	0.391304347826087							
2054	0.391304347826087							
2055	0.391304347826087							
2056	0.391304347826087							
2057	0.391304347826087							
2058	0.391304347826087							
2059	0.391304347826087							
2060	0.391304347826087							
2061	0.391304347826087							
2062	0.391304347826087							
2063	0.391304347826087							
2064	0.391304347826087							
2065	0.391304347826087							
2066	0.391304347826087							
2067	0.3829787234042553							
2068	0.3829787234042553							
2069	0.3829787234042553							
2070	0.3829787234042553							
2071	0.3829787234042553							
2072	0.3829787234042553							
2073	0.3829787234042553							
2074	0.3829787234042553							
2075	0.3829787234042553							
2076	0.3829787234042553							
2077	0.3829787234042553							
2078	0.3829787234042553							
2079	0.3829787234042553							
2080	0.3829787234042553							
2081	0.3829787234042553							
2082	0.3829787234042553							
2083	0.3829787234042553							
2084	0.3829787234042553							
2085	0.3829787234042553							
2086	0.375							
2087	0.375							
2088	0.375							
2089	0.375							
2090	0.375							
2091	0.375							
2092	0.375							
2093	0.375							
2094	0.3673469387755102							
2095	0.3673469387755102							
