timestamp	phase	step	addend1	operator	addend2	target	predicted	confidence	used_finger_counting	loss	confidence_criterion	learning_rate
2025-08-07 08:25:44.436	continuous	0	2	->		3	11	0.0003	True	2.542889	0.900	0.020000
2025-08-07 08:25:44.436	continuous	1	2	->		3	5	0.0003	True	2.513544	0.900	0.019998
2025-08-07 08:25:44.437	continuous	2	2	->	3	4	11	0.0009	True	2.510567	0.900	0.019996
2025-08-07 08:25:44.437	continuous	3	1	->		2	5	0.0005	True	2.498090	0.900	0.019994
2025-08-07 08:25:44.437	continuous	4	1	->		2	5	0.0005	True	2.467095	0.900	0.019992
2025-08-07 08:25:44.437	continuous	5	2	->		3	5	0.0003	True	2.496904	0.900	0.019990
2025-08-07 08:25:44.438	continuous	6	1	->		2	5	0.0005	True	2.440552	0.899	0.019988
2025-08-07 08:25:44.438	continuous	7	1	->		2	2	0.0006	True	2.411430	0.899	0.019986
2025-08-07 08:25:44.438	continuous	8	1	->	2	3	2	0.0009	True	2.519814	0.899	0.019984
2025-08-07 08:25:44.438	continuous	9	1	->		2	2	0.0007	True	2.387721	0.899	0.019982
2025-08-07 08:25:44.439	continuous	10	1	->	2	3	2	0.0010	True	2.487184	0.899	0.019980
2025-08-07 08:25:44.439	continuous	11	1	->		2	2	0.0008	True	2.364160	0.899	0.019978
2025-08-07 08:25:44.439	continuous	12	1	->		2	2	0.0009	True	2.336342	0.899	0.019976
2025-08-07 08:25:44.439	continuous	13	1	->		2	2	0.0011	True	2.308602	0.899	0.019974
2025-08-07 08:25:44.440	continuous	14	1	->	2	3	2	0.0016	True	2.464205	0.899	0.019972
2025-08-07 08:25:44.440	continuous	15	2	->		3	2	0.0009	True	2.416207	0.899	0.019970
2025-08-07 08:25:44.440	continuous	16	2	->		3	2	0.0010	True	2.388247	0.899	0.019968
2025-08-07 08:25:44.440	continuous	17	2	->		3	2	0.0011	True	2.360525	0.898	0.019966
2025-08-07 08:25:44.441	continuous	18	1	->		2	2	0.0016	True	2.298629	0.898	0.019964
2025-08-07 08:25:44.441	continuous	19	2	->		3	2	0.0014	True	2.337678	0.898	0.019962
2025-08-07 08:25:44.441	continuous	20	2	->		3	2	0.0016	True	2.310694	0.898	0.019960
2025-08-07 08:25:44.442	continuous	21	1	->		2	2	0.0021	True	2.276153	0.898	0.019958
2025-08-07 08:25:44.442	continuous	22	1	->		2	2	0.0024	True	2.245215	0.898	0.019956
2025-08-07 08:25:44.442	continuous	23	1	->	2	3	2	0.0031	True	2.323788	0.898	0.019954
2025-08-07 08:25:44.442	continuous	24	1	->	2	3	2	0.0033	True	2.288575	0.898	0.019952
2025-08-07 08:25:44.443	continuous	25	1	->	2	3	2	0.0036	True	2.253888	0.898	0.019950
2025-08-07 08:25:44.443	continuous	26	1	->	2	3	2	0.0039	True	2.219552	0.898	0.019948
2025-08-07 08:25:44.443	continuous	27	2	->		3	3	0.0032	True	2.199196	0.898	0.019946
2025-08-07 08:25:44.443	continuous	28	1	->	2	3	3	0.0047	True	2.162419	0.897	0.019944
2025-08-07 08:25:44.444	continuous	29	1	->		2	3	0.0047	True	2.245081	0.897	0.019942
2025-08-07 08:25:44.444	continuous	30	1	->	2	3	3	0.0056	True	2.133958	0.897	0.019940
2025-08-07 08:25:44.444	continuous	31	1	->	2	3	3	0.0062	True	2.100116	0.897	0.019938
2025-08-07 08:25:44.444	continuous	32	1	->		2	3	0.0061	True	2.226169	0.897	0.019936
2025-08-07 08:25:44.445	continuous	33	1	->	2	3	3	0.0073	True	2.071760	0.897	0.019934
2025-08-07 08:25:44.445	continuous	34	1	->	2	3	3	0.0081	True	2.037942	0.897	0.019932
2025-08-07 08:25:44.445	continuous	35	1	->		2	3	0.0078	True	2.207054	0.897	0.019930
2025-08-07 08:25:44.445	continuous	36	1	->		2	3	0.0082	True	2.176507	0.897	0.019928
2025-08-07 08:25:44.445	continuous	37	2	->		3	3	0.0067	True	2.074650	0.897	0.019926
2025-08-07 08:25:44.446	continuous	38	1	->		2	3	0.0093	True	2.150670	0.897	0.019924
