timestamp	phase	epoch	batch	addend1	operator	addend2	target	predicted	confidence	used_finger_counting	loss	confidence_criterion
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	2	->		3	7	0.0014	True	2.577905	0.898
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	3	->		4	5	0.0008	True	2.577905	0.898
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.751	gaussian_curriculum	0	0	2	->	3	4	7	0.0016	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	2	->		3	7	0.0014	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	2	->	3	4	7	0.0016	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	2	->	3	4	7	0.0016	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	3	->		4	5	0.0008	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	2	->		3	7	0.0014	True	2.577905	0.898
2025-08-05 17:30:43.752	gaussian_curriculum	0	0	1	->	2	3	10	0.0013	True	2.577905	0.898
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->	2	3	10	0.0010	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.753	gaussian_curriculum	1	0	1	->	2	3	10	0.0010	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	1	->		2	7	0.0007	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	1	->	2	3	10	0.0010	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	1	0	2	->		3	7	0.0013	True	2.547667	0.896
2025-08-05 17:30:43.754	gaussian_curriculum	2	0	1	->		2	4	0.0005	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	1	->		2	4	0.0005	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	1	->		2	4	0.0005	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	2	->		3	7	0.0012	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	1	->	2	3	10	0.0009	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	2	->		3	7	0.0012	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	2	->		3	7	0.0012	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	1	->		2	4	0.0005	True	2.513179	0.895
2025-08-05 17:30:43.755	gaussian_curriculum	2	0	1	->		2	4	0.0005	True	2.513179	0.895
