timestamp	phase	step	addend1	operator	addend2	target	predicted	confidence	used_finger_counting	loss	confidence_criterion	learning_rate	finger_phase	softmax_probs
2025-09-16 20:32:04.968	continuous	34	1	->	2	3	10	0.000001	False	2.486709	0.900000	0.005000		[0.08352506030637193, 0.08315204844496228, 0.08318331309580577, 0.08341469049682707, 0.08353202864579919, 0.08332142703322151, 0.08337446868647924, 0.08321471632750112, 0.08322896329340412, 0.0837959793318114, 0.08311559623620754, 0.08314170810152502]
2025-09-16 20:32:04.968	continuous	35	1	->	2	3	10	0.000001	False	2.486522	0.899910	0.005000		[0.08352466629036813, 0.08314523082724015, 0.08319881686881976, 0.08341159672441031, 0.08353018416360113, 0.08330879438408867, 0.0833660820807861, 0.08321077171952278, 0.08323817835193113, 0.08379648163713738, 0.08311832199939319, 0.08315087495261751]
2025-09-16 20:32:04.969	continuous	36	2	->		3	3	0.000001	False	2.480988	0.899820	0.004999		[0.08339483812438976, 0.08317001056558647, 0.08366056927056466, 0.08292238360811381, 0.08353640160399804, 0.08318266286332279, 0.0831988667914786, 0.08351494942749181, 0.08347609077254421, 0.08330551607361511, 0.08312548235744706, 0.08351222854136417]
2025-09-16 20:32:04.969	continuous	37	2	->		3	3	0.000001	False	2.480855	0.899730	0.004999		[0.08339477179774436, 0.08316751627636752, 0.08367165264564203, 0.08291578439838995, 0.08353851817500894, 0.08317637187105069, 0.08319373131546669, 0.0835111368874521, 0.08348157868661643, 0.08330608618178606, 0.0831257504457405, 0.08351710131865105]
2025-09-16 20:32:04.969	continuous	38	3	->		4	8	0.000000	False	2.485611	0.899640	0.004998		[0.08340855536981547, 0.08313582435030055, 0.08337733630156192, 0.08327464295388981, 0.08337035581295354, 0.08331731166361295, 0.08333630736231175, 0.08364757063574053, 0.08333044157492805, 0.08326695483675513, 0.08318699261608155, 0.08334770652196502]
2025-09-16 20:32:04.969	continuous	39	1	->		2	10	0.000001	False	2.487596	0.899550	0.004998		[0.08348868128053369, 0.08310954181081011, 0.0834895606462119, 0.08315322684372017, 0.08362915034077113, 0.08311775479963551, 0.08329853019718894, 0.08315830164745912, 0.08338026741607092, 0.08369154176326205, 0.08318959096187696, 0.08329385229237583]
2025-09-16 20:32:04.970	continuous	40	2	->		3	3	0.000001	False	2.480771	0.899460	0.004997		[0.08338873030105669, 0.08317400291025591, 0.08367868155473664, 0.08291702749466147, 0.08353237246300829, 0.08317238020292991, 0.08319406105007732, 0.08350805506721971, 0.0834854945072287, 0.08330699886669551, 0.08312580619624219, 0.08351638938580389]
2025-09-16 20:32:04.970	continuous	41	1	->		2	10	0.000001	False	2.487426	0.899370	0.004997		[0.08348208790587372, 0.08312361499694108, 0.08348899553567264, 0.08314781096497692, 0.08362877142010887, 0.08312325708953126, 0.08330770296885943, 0.08316188252584192, 0.08337768557906737, 0.08369223869117223, 0.08318132452704813, 0.08328462779482257]
2025-09-16 20:32:04.970	continuous	42	2	->		3	3	0.000001	False	2.480663	0.899280	0.004996		[0.0833829717698373, 0.08318298272866312, 0.08368768589959137, 0.0829071955645812, 0.08353370738228988, 0.08316979256809633, 0.08319609787231409, 0.08350672354371268, 0.08348894191437259, 0.08330781665777721, 0.083121069001746, 0.0835150150969346]
2025-09-16 20:32:04.971	continuous	43	2	->		3	3	0.000001	False	2.480531	0.899190	0.004996		[0.08338295110761695, 0.08318045022213312, 0.08369880446781851, 0.08290045239672485, 0.08353593429780519, 0.0831635225706701, 0.08319099561918405, 0.08350300469918938, 0.08349440397369266, 0.08330837127327853, 0.08312122759338063, 0.08351988177842244]
2025-09-16 20:32:04.971	continuous	44	2	->		3	3	0.000001	False	2.480398	0.899100	0.004995		[0.08338292939055333, 0.0831779141828619, 0.083709943236642, 0.0828937027514143, 0.08353816207109004, 0.08315724872060752, 0.08318588906322326, 0.08349928555218368, 0.0834998676874587, 0.08330892425670332, 0.08312138269141323, 0.08352475039576503]
2025-09-16 20:32:04.972	continuous	45	1	->		2	10	0.000001	False	2.487307	0.899010	0.004995		[0.08347582609765374, 0.08313350531047134, 0.08350048808416739, 0.08313683725385046, 0.08362893981297306, 0.0831227013533206, 0.08331365020248596, 0.08316632299214555, 0.08338024005753643, 0.0836931235578754, 0.08316996500699551, 0.08327840027044087]
2025-09-16 20:32:04.972	continuous	46	1	->	2	3	10	0.000001	False	2.486190	0.898921	0.004994		[0.08350247784806962, 0.08317309976982025, 0.08322644969944894, 0.08340348550351596, 0.08351555194960857, 0.08329915751430461, 0.08336009743604156, 0.0832013423459843, 0.08325313711971209, 0.08380250156798955, 0.083112201776151, 0.08315049746926992]
2025-09-16 20:32:04.972	continuous	47	1	->	2	3	10	0.000001	False	2.486003	0.898831	0.004994		[0.08350208981426022, 0.08316627580768153, 0.08324198944058561, 0.08340036848279644, 0.08351372231678535, 0.083286522005519, 0.08335171240568702, 0.0831974045724876, 0.0832623495582315, 0.08380301394928263, 0.0831148966439567, 0.08315965500264245]
2025-09-16 20:32:04.972	continuous	48	1	->		2	10	0.000001	False	2.487248	0.898741	0.004993		[0.08346816839608578, 0.08313841688012397, 0.08351795536138097, 0.08313198614423505, 0.08362302857035178, 0.08311150445874828, 0.08331163449414097, 0.08316477915496759, 0.08338946564925681, 0.08369397668621369, 0.08316745078862697, 0.08328163341578441]
2025-09-16 20:32:04.973	continuous	49	1	->	2	3	10	0.000001	False	2.485884	0.898651	0.004993		[0.08349497623460138, 0.08317521539879291, 0.08325190428342909, 0.08339393243134623, 0.08351144434059055, 0.08328215288159031, 0.08335292630871004, 0.08319662856881932, 0.08326697128895165, 0.0838039912069648, 0.0831109706040087, 0.0831588864521112]
2025-09-16 20:32:04.974	continuous	50	1	->	2	3	10	0.000001	False	2.485698	0.898561	0.004992		[0.08349459228017676, 0.08316839255219573, 0.08326744042088478, 0.08339081229126952, 0.08350962183425699, 0.08326952324378988, 0.08334454946799413, 0.08319269122953352, 0.08327617739041543, 0.08380451246964458, 0.08311365319616427, 0.08316803362359078]
2025-09-16 20:32:04.974	continuous	51	2	->		3	3	0.000002	False	2.480066	0.898471	0.004992		[0.08337091901388616, 0.08319152269789543, 0.08373768807996354, 0.08287497516528747, 0.08353751558251489, 0.08314472869129444, 0.0831796689756006, 0.0834920891354365, 0.08351362400464146, 0.08331280620900942, 0.08311484082908654, 0.08352962161529971]
2025-09-16 20:32:04.975	continuous	52	2	->		3	3	0.000002	False	2.479932	0.898381	0.004991		[0.08337089770060553, 0.08318897809381108, 0.08374888097576033, 0.08286821173854803, 0.08353974939316786, 0.08313844307233446, 0.08317455396581376, 0.0834883653813508, 0.08351908649453693, 0.08331336734488684, 0.08311497898065115, 0.08353448685844943]
